Period,Trending,Seasonal,N,MSECV1,MSEACV1,ratio1,MSECV2,MSEACV2,ratio2
Yearly,,,23000,151.91,150.46,-1.0   ,151.66,154.00,1.5   
,,,,(3.82),(3.79),,(4.20),(4.33),
,F,F,2214,319.14,321.68,0.8   ,402.81,415.07,3.0   
,,,,(20.30),(21.45),,(27.49),(28.76),
,F,T,267,124.49,117.87,-5.3   ,116.15,118.38,1.9   
,,,,(23.61),(22.36),,(26.05),(24.57),
,T,F,15076,157.22,154.43,-1.8   ,149.01,149.57,0.4   
,,,,(4.72),(4.53),,(4.69),(4.78),
,T,T,5443,70.53,71.44,1.3   ,58.58,61.82,5.5*  
,,,,(4.11),(4.23),,(3.67),(3.73),
Quarterly,,,24000,71.74,67.99,-5.2***,77.85,75.27,-3.3*  
,,,,(2.54),(2.33),,(2.73),(2.68),
,F,F,1561,208.50,194.95,-6.5   ,208.44,186.77,-10.4*  
,,,,(18.54),(17.48),,(19.66),(17.54),
,F,T,681,115.34,104.09,-9.8   ,136.70,129.78,-5.1   
,,,,(20.29),(16.94),,(23.21),(23.36),
,T,F,14115,75.65,70.89,-6.3***,79.94,77.01,-3.7*  
,,,,(3.43),(3.09),,(3.34),(3.18),
,T,T,7643,32.72,33.50,2.4   ,42.07,44.42,5.6   
,,,,(2.20),(2.26),,(3.82),(4.35),
Monthly,,,48000,42.91,40.68,-5.2***,45.15,43.06,-4.6***
,,,,(0.88),(0.88),,(0.95),(0.94),
,F,F,2574,131.07,112.19,-14.4***,139.13,123.49,-11.2***
,,,,(8.06),(7.20),,(8.77),(8.30),
,F,T,1964,37.86,36.00,-4.9   ,44.71,40.78,-8.8*  
,,,,(3.61),(3.51),,(5.63),(5.10),
,T,F,21613,57.87,55.29,-4.5***,58.95,56.52,-4.1***
,,,,(1.43),(1.51),,(1.51),(1.52),
,T,T,21849,18.19,18.22,0.2   ,20.47,20.48,0.0   
,,,,(0.79),(0.81),,(0.86),(0.87),
Weekly,,,359,18.05,15.17,-16.0*  ,16.28,18.24,12.0   
,,,,(2.47),(2.45),,(2.59),(3.61),
,F,F,54,33.16,29.90,-9.8   ,18.80,16.86,-10.3   
,,,,(8.83),(11.71),,(3.82),(3.16),
,F,T,3,4.25,3.27,-23.1   ,6.26,5.47,-12.6***
,,,,(1.14),(0.56),,(3.36),(3.17),
,T,F,257,14.99,11.80,-21.2   ,15.79,18.96,20.1   
,,,,(2.50),(1.97),,(3.32),(4.87),
,T,T,45,18.36,17.47,-4.8   ,16.68,16.61,-0.5   
,,,,(8.32),(7.37),,(6.97),(6.52),
Daily,,,4227,13.12,12.93,-1.5   ,22.83,23.60,3.4   
,,,,(3.35),(3.43),,(6.14),(6.44),
,F,F,226,6.66,7.94,19.3   ,9.10,8.79,-3.5   
,,,,(3.65),(5.49),,(4.97),(5.29),
,F,T,19,3.28,3.40,3.8   ,3.51,3.36,-4.2   
,,,,(2.56),(2.87),,(2.46),(2.50),
,T,F,3535,4.02,3.54,-11.9*  ,4.08,3.67,-9.8   
,,,,(1.04),(1.01),,(1.08),(1.06),
,T,T,447,88.81,90.08,1.4   ,178.95,189.55,5.9   
,,,,(30.35),(31.10),,(56.86),(59.77),
Hourly,,,414,36.26,32.67,-9.9   ,106.11,97.04,-8.5   
,,,,(5.00),(4.10),,(20.88),(22.04),
,F,F,1,1.83,1.18,-35.4   ,0.01,0.00,-93.3   
,,,,( NA),( NA),,( NA),( NA),
,F,T,125,81.20,71.84,-11.5   ,193.90,152.58,-21.3** 
,,,,(13.45),(10.86),,(45.80),(39.93),
,T,F,5,3.39,2.75,-19.0   ,3.43,3.63,5.9   
,,,,(2.73),(2.19),,(1.58),(1.65),
,T,T,283,17.10,16.01,-6.4   ,69.53,74.50,7.2   
,,,,(3.72),(3.10),,(22.55),(26.91),
All,,,100000,73.53,71.19,-3.2***,76.70,75.62,-1.4*  
,,,,(1.17),(1.14),,(1.29),(1.31),
