Period,N,LossOptimal,SelectedAIC,LossAIC,SelectedCV,LossCV,SelectedACV,LossACV,LossRelGainAIC,LossRelGainCV
Yearly,23000,8.940,0.499,9.975,0.520,9.828,0.522,9.833,-13.7***,0.5   
,,(0.071),(0.003),(0.082),(0.003),(0.079),(0.003),(0.080),,
Quarterly,24000,6.839,0.486,7.532,0.537,7.316,0.537,7.318,-30.9***,0.5   
,,(0.062),(0.003),(0.070),(0.003),(0.066),(0.003),(0.066),,
Monthly,48000,7.803,0.523,8.310,0.572,8.235,0.574,8.234,-15.0***,-0.4   
,,(0.047),(0.002),(0.050),(0.002),(0.049),(0.002),(0.049),,
Weekly,359,5.803,0.565,6.003,0.577,6.099,0.602,6.052,24.1   ,-16.0   
,,(0.335),(0.026),(0.342),(0.026),(0.360),(0.026),(0.357),,
Daily,4227,1.433,0.494,1.520,0.525,1.459,0.515,1.459,-69.8** ,0.6   
,,(0.039),(0.008),(0.053),(0.008),(0.041),(0.008),(0.041),,
Hourly,414,8.460,0.585,10.760,0.751,8.910,0.768,8.817,-84.5***,-20.7   
,,(0.547),(0.024),(0.744),(0.021),(0.578),(0.021),(0.572),,
All,100000,7.559,0.508,8.221,0.551,8.090,0.551,8.090,-19.8***,0.1   
,,(0.032),(0.002),(0.035),(0.002),(0.034),(0.002),(0.034),,
